Date,station,river_hight,rainfall
11/29/2023,Kalawellawa,5.71,110.5
11/28/2023,Putupaula,1.1,4.5
11/28/2023,Ellagawa,5.92,3.8
11/28/2023,Rathnapura,2.11,18.2
11/28/2023,Magura,3.16,14.7
11/28/2023,Kalawellawa,4,4.5
11/27/2023,Putupaula,0.83,3.5
11/27/2023,Ellagawa,5.75,13.3
11/27/2023,Rathnapura,1.95,9
11/27/2023,Magura,2.19,8.5
11/27/2023,Kalawellawa,3.25,3.4
11/26/2023,Putupaula,1.2,15.2
11/26/2023,Ellagawa,6.12,18.7
11/26/2023,Rathnapura,2.22,5.3
11/26/2023,Magura,2.39,2.1
11/26/2023,Kalawellawa,4.06,27.2
11/25/2023,Putupaula,2.38,4.5
11/25/2023,Ellagawa,7.3,42.3
11/25/2023,Rathnapura,2.49,1.9
11/25/2023,Magura,2.7,5.3
11/25/2023,Kalawellawa,5.37,52.7
11/24/2023,Putupaula,2.6,0.9
11/24/2023,Ellagawa,8.6,0
11/24/2023,Rathnapura,4.2,0.4
11/24/2023,Magura,3.21,0
11/24/2023,Kalawellawa,6.13,0
11/23/2023,Putupaula,2.57,0.9
11/23/2023,Ellagawa,8.72,0
11/23/2023,Rathnapura,8.72,0.4
11/23/2023,Magura,3.87,0
11/23/2023,Kalawellawa,6.28,0
11/22/2023,Putupaula,1.35,24.4
11/22/2023,Ellagawa,7.09,44.4
11/22/2023,Rathnapura,4.57,2.4
11/22/2023,Magura,2.35,1.2
11/22/2023,Kalawellawa,4.23,19
11/21/2023,Putupaula,1.67,0
11/21/2023,Ellagawa,7.66,31.4
11/21/2023,Rathnapura,3.05,3.3
11/21/2023,Magura,1.87,0
11/21/2023,Kalawellawa,4.58,0
11/20/2023,Putupaula,1.68,5.9
11/20/2023,Ellagawa,8.18,55.4
11/20/2023,Rathnapura,4.31,41
11/20/2023,Magura,1.54,4.4
11/20/2023,Kalawellawa,3.61,7.9
11/19/2023,Putupaula,1.42,46.3
11/19/2023,Ellagawa,7.63,5
11/19/2023,Rathnapura,6.15,101.5
11/19/2023,Magura,2.11,2.1
11/19/2023,Kalawellawa,4.51,3.1
11/18/2023,Putupaula,1.04,0.6
11/18/2023,Ellagawa,6.71,35.7
11/18/2023,Rathnapura,3.46,14.6
11/18/2023,Magura,3.13,2.8
11/18/2023,Kalawellawa,4.05,1.8
11/17/2023,Putupaula,0.7,0
11/17/2023,Ellagawa,6.06,0
11/17/2023,Rathnapura,2.31,0
11/17/2023,Magura,1.47,0
11/17/2023,Kalawellawa,2.61,0
11/16/2023,Putupaula,0.84,0.9
11/16/2023,Ellagawa,6.1,4
11/16/2023,Rathnapura,2.01,4.5
11/16/2023,Magura,1.67,0
11/16/2023,Kalawellawa,3.06,0
